Source,Technology,Factor_Type,Job_Type,Unit,Year,Value,Value_Numeric,Method_Applied,Mapped_Rutovitz_Tech,Rutovitz_2030_Factor,Mapped_Catalogue_Tech,Learning_Rate,Projection_Input,Base_Year,Projected_Year,Projected_Value
I-JEDI,Coal power,Construction&Manufacturing,Direct,job-yr/MW,2050,9.12257539062413,9.12257539062,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,9.12257539062
I-JEDI,Coal power,Construction&Manufacturing,Indirect,job-yr/MW,2024,12.232,12.232,Original,,,,,,2024,2024,12.232
I-JEDI,Coal power,Construction&Manufacturing,Indirect,job-yr/MW,2030,12.08594796581333,12.0859479658,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2030/2024=0.988059840239808,2024,2030,12.0859479658
I-JEDI,Coal power,Construction&Manufacturing,Indirect,job-yr/MW,2050,11.61158607472574,11.6115860747,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,11.6115860747
I-JEDI,Coal power,Construction&Manufacturing,Induced,job-yr/MW,2024,11.301,11.301,Original,,,,,,2024,2024,11.301
I-JEDI,Coal power,Construction&Manufacturing,Induced,job-yr/MW,2030,11.16606425455007,11.1660642546,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2030/2024=0.988059840239808,2024,2030,11.1660642546
I-JEDI,Coal power,Construction&Manufacturing,Induced,job-yr/MW,2050,10.727806918776617,10.7278069188,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,10.7278069188
Rutovitz 2015,Coal power,Fuel,Fuel,job/PJ,2015,15.4 jobs/PJ,15.4,Original,,,,,,2015,2015,15.4
Rutovitz 2015,Coal power,Manufacturing,Direct,job-yr/MW,2015,5.4,5.4,Original,,,,,,2015,2015,5.4
Rutovitz 2015,Coal power,Manufacturing,Direct,job-yr/MW,2030,5.4,5.4,Rutovitz Table 9 decline to 2030,Coal,1.0,,,Rutovitz Table 9 Latin America 2030,2015,2030,5.4
Rutovitz 2015,Coal power,Manufacturing,Direct,job-yr/MW,2050,5.1880551679422515,5.18805516794,CAPEX/OPEX ratio projection,Coal,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,5.18805516794
Rutovitz 2025,Coal power,Manufacturing,Direct,job-yr/MW,2024,5.41,5.41,Original,,,,,,2024,2024,5.41
Rutovitz 2025,Coal power,Manufacturing,Direct,job-yr/MW,2030,5.345403735697361,5.3454037357,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2030/2024=0.988059840239808,2024,2030,5.3454037357
Rutovitz 2025,Coal power,Manufacturing,Direct,job-yr/MW,2050,5.135601754763428,5.13560175476,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,5.13560175476
I-JEDI,Coal power,O&M,Direct,job/MW,2024,0.143,0.143,Original,,,,,,2024,2024,0.143
I-JEDI,Coal power,O&M,Direct,job/MW,2030,0.14130099009900987,0.141300990099,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2030/2024=0.988118811881188,2024,2030,0.141300990099
I-JEDI,Coal power,O&M,Direct,job/MW,2050,0.13563762376237623,0.135637623762,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2050/2030=0.9599198396793588,2030,2050,0.135637623762
Rutovitz 2015,Coal power,O&M,Direct,job/MW,2015,0.14,0.14,Original,,,,,,2015,2015,0.14
Rutovitz 2015,Coal power,O&M,Direct,job/MW,2030,0.14,0.14,Rutovitz Table 9 decline to 2030,Coal,1.0,,,Rutovitz Table 9 Latin America 2030,2015,2030,0.14
Rutovitz 2015,Coal power,O&M,Direct,job/MW,2050,0.13438877755511025,0.134388777555,CAPEX/OPEX ratio projection,Coal,,Coal Supercritical,,OPEX 2050/2030=0.9599198396793588,2030,2050,0.134388777555
Rutovitz 2025,Coal power,O&M,Direct,job/MW,2024,0.22,0.22,Original,,,,,,2024,2024,0.22
Rutovitz 2025,Coal power,O&M,Direct,job/MW,2030,0.21738613861386136,0.217386138614,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2030/2024=0.988118811881188,2024,2030,0.217386138614
Rutovitz 2025,Coal power,O&M,Direct,job/MW,2050,0.20867326732673266,0.208673267327,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2050/2030=0.9599198396793588,2030,2050,0.208673267327
I-JEDI,Coal power,O&M,Indirect,job/MW,2024,0.789,0.789,Original,,,,,,2024,2024,0.789
I-JEDI,Coal power,O&M,Indirect,job/MW,2030,0.7796257425742573,0.779625742574,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2030/2024=0.988118811881188,2024,2030,0.779625742574
I-JEDI,Coal power,O&M,Indirect,job/MW,2050,0.7483782178217822,0.748378217822,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2050/2030=0.9599198396793588,2030,2050,0.748378217822
I-JEDI,Coal power,O&M,Induced,job/MW,2024,0.561,0.561,Original,,,,,,2024,2024,0.561
I-JEDI,Coal power,O&M,Induced,job/MW,2030,0.5543346534653465,0.554334653465,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2030/2024=0.988118811881188,2024,2030,0.554334653465
I-JEDI,Coal power,O&M,Induced,job/MW,2050,0.5321168316831684,0.532116831683,CAPEX/OPEX ratio projection,,,Coal Supercritical,,OPEX 2050/2030=0.9599198396793588,2030,2050,0.532116831683
Rutovitz 2015,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2015,1.3,1.3,Original,,,,,,2015,2015,1.3
Rutovitz 2015,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2030,1.2349999999999999,1.235,Rutovitz Table 9 decline to 2030,Gas,0.95,,,Rutovitz Table 9 Latin America 2030,2015,2030,1.235
Rutovitz 2015,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2050,1.1865274319275332,1.18652743193,CAPEX/OPEX ratio projection,Gas,,CCGT (GAS),,CAPEX 2050/2030=0.9607509570263428,2030,2050,1.18652743193
Rutovitz 2025,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2024,7.36,7.36,Original,,,,,,2024,2024,7.36
Rutovitz 2025,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2030,7.272120424164987,7.27212042416,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2030/2024=0.988059840239808,2024,2030,7.27212042416
Rutovitz 2025,Gas CCGT/OCGT,Construction,Direct,job-yr/MW,2050,6.986696657127325,6.98669665713,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2050/2030=0.9607509570263428,2030,2050,6.98669665713
JEDI-US,Gas CCGT/OCGT,Construction&Manufacturing,Direct,job-yr/MW,2024,2.528,2.528,Original,,,,,,2024,2024,2.528
JEDI-US,Gas CCGT/OCGT,Construction&Manufacturing,Direct,job-yr/MW,2030,2.4978152761262344,2.49781527613,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2030/2024=0.988059840239808,2024,2030,2.49781527613
JEDI-US,Gas CCGT/OCGT,Construction&Manufacturing,Direct,job-yr/MW,2050,2.3997784170132985,2.39977841701,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2050/2030=0.9607509570263428,2030,2050,2.39977841701
Rutovitz 2015,Gas CCGT/OCGT,Fuel,Fuel,job/PJ,2015,World avg 15.1 jobs/PJ,15.1,Original,,,,,,2015,2015,15.1
Rutovitz 2015,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2015,0.93,0.93,Original,,,,,,2015,2015,0.93
Rutovitz 2015,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2030,0.8835,0.8835,Rutovitz Table 9 decline to 2030,Gas,0.95,,,Rutovitz Table 9 Latin America 2030,2015,2030,0.8835
Rutovitz 2015,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2050,0.8488234705327738,0.848823470533,CAPEX/OPEX ratio projection,Gas,,CCGT (GAS),,CAPEX 2050/2030=0.9607509570263428,2030,2050,0.848823470533
Rutovitz 2025,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2024,2.3,2.3,Original,,,,,,2024,2024,2.3
Rutovitz 2025,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2030,2.272537632551558,2.27253763255,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2030/2024=0.988059840239808,2024,2030,2.27253763255
Rutovitz 2025,Gas CCGT/OCGT,Manufacturing,Direct,job-yr/MW,2050,2.1833427053522887,2.18334270535,CAPEX/OPEX ratio projection,,,CCGT (GAS),,CAPEX 2050/2030=0.9607509570263428,2030,2050,2.18334270535
JEDI-US,Gas CCGT/OCGT,O&M,Direct,job/MW,2024,0.051,0.051,Original,,,,,,2024,2024,0.051
JEDI-US,Gas CCGT/OCGT,O&M,Direct,job/MW,2030,0.05037993920972644,0.0503799392097,CAPEX/OPEX ratio projection,,,CCGT (GAS),,OPEX 2030/2024=0.9878419452887538,2024,2030,0.0503799392097
JEDI-US,Gas CCGT/OCGT,O&M,Direct,job/MW,2050,0.04836474164133738,0.0483647416413,CAPEX/OPEX ratio projection,,,CCGT (GAS),,OPEX 2050/2030=0.96,2030,2050,0.0483647416413
Rutovitz 2015,Gas CCGT/OCGT,O&M,Direct,job/MW,2015,0.14,0.14,Original,,,,,,2015,2015,0.14
Rutovitz 2015,Gas CCGT/OCGT,O&M,Direct,job/MW,2030,0.133,0.133,Rutovitz Table 9 decline to 2030,Gas,0.95,,,Rutovitz Table 9 Latin America 2030,2015,2030,0.133
Rutovitz 2015,Gas CCGT/OCGT,O&M,Direct,job/MW,2050,0.12768000000000002,0.12768,CAPEX/OPEX ratio projection,Gas,,CCGT (GAS),,OPEX 2050/2030=0.96,2030,2050,0.12768
Rutovitz 2025,Gas CCGT/OCGT,O&M,Direct,job/MW,2024,0.14,0.14,Original,,,,,,2024,2024,0.14
Rutovitz 2025,Gas CCGT/OCGT,O&M,Direct,job/MW,2030,0.13829787234042554,0.13829787234,CAPEX/OPEX ratio projection,,,CCGT (GAS),,OPEX 2030/2024=0.9878419452887538,2024,2030,0.13829787234
Rutovitz 2025,Gas CCGT/OCGT,O&M,Direct,job/MW,2050,0.13276595744680852,0.132765957447,CAPEX/OPEX ratio projection,,,CCGT (GAS),,OPEX 2050/2030=0.96,2030,2050,0.132765957447
Rutovitz 2015,Geothermal,Construction,Direct,job-yr/MW,2015,6.8,6.8,Original,,,,,,2015,2015,6.8
Rutovitz 2015,Geothermal,Construction,Direct,job-yr/MW,2030,3.536,3.536,Rutovitz Table 9 decline to 2030,Geothermal power,0.52,,,Rutovitz Table 9 Latin America 2030,2015,2030,3.536
Rutovitz 2015,Geothermal,Construction,Direct,job-yr/MW,2050,3.2634617504023846,3.2634617504,CAPEX/OPEX ratio projection,Geothermal power,,Geothermal large,,CAPEX 2050/2030=0.9229247031680952,2030,2050,3.2634617504
I-JEDI,Geothermal,Construction&Manufacturing,Direct,job-yr/MW,2024,5.087,5.087,Original,,,,,,2024,2024,5.087
I-JEDI,Geothermal,Construction&Manufacturing,Direct,job-yr/MW,2030,4.79186599335142,4.79186599335,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2030/2024=0.941982699695581,2024,2030,4.79186599335
I-JEDI,Geothermal,Construction&Manufacturing,Direct,job-yr/MW,2050,4.4225314995351495,4.42253149954,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2050/2030=0.9229247031680952,2030,2050,4.42253149954
I-JEDI,Geothermal,Construction&Manufacturing,Indirect,job-yr/MW,2024,3.4,3.4,Original,,,,,,2024,2024,3.4
I-JEDI,Geothermal,Construction&Manufacturing,Indirect,job-yr/MW,2030,3.2027411789649753,3.20274117896,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2030/2024=0.941982699695581,2024,2030,3.20274117896
I-JEDI,Geothermal,Construction&Manufacturing,Indirect,job-yr/MW,2050,2.955888951920485,2.95588895192,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2050/2030=0.9229247031680952,2030,2050,2.95588895192
I-JEDI,Geothermal,Construction&Manufacturing,Induced,job-yr/MW,2024,5.5,5.5,Original,,,,,,2024,2024,5.5
I-JEDI,Geothermal,Construction&Manufacturing,Induced,job-yr/MW,2030,5.180904848325696,5.18090484833,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2030/2024=0.941982699695581,2024,2030,5.18090484833
I-JEDI,Geothermal,Construction&Manufacturing,Induced,job-yr/MW,2050,4.781585069283138,4.78158506928,CAPEX/OPEX ratio projection,,,Geothermal large,,CAPEX 2050/2030=0.9229247031680952,2030,2050,4.78158506928
Rutovitz 2015,Geothermal,Manufacturing,Direct,job-yr/MW,2015,3.9,3.9,Original,,,,,,2015,2015,3.9
Rutovitz 2015,Geothermal,Manufacturing,Direct,job-yr/MW,2030,2.028,2.028,Rutovitz Table 9 decline to 2030,Geothermal power,0.52,,,Rutovitz Table 9 Latin America 2030,2015,2030,2.028
Rutovitz 2015,Geothermal,Manufacturing,Direct,job-yr/MW,2050,1.871691298024897,1.87169129802,CAPEX/OPEX ratio projection,Geothermal power,,Geothermal large,,CAPEX 2050/2030=0.9229247031680952,2030,2050,1.87169129802
I-JEDI,Geothermal,O&M,Direct,job/MW,2024,0.008,0.008,Original,,,,,,2024,2024,0.008
I-JEDI,Geothermal,O&M,Direct,job/MW,2030,0.007536748329621382,0.00753674832962,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2030/2024=0.9420935412026726,2024,2030,0.00753674832962
I-JEDI,Geothermal,O&M,Direct,job/MW,2050,0.0069576837416481085,0.00695768374165,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2050/2030=0.9231678486997636,2030,2050,0.00695768374165
Rutovitz 2015,Geothermal,O&M,Direct,job/MW,2015,0.4,0.4,Original,,,,,,2015,2015,0.4
Rutovitz 2015,Geothermal,O&M,Direct,job/MW,2030,0.20800000000000002,0.208,Rutovitz Table 9 decline to 2030,Geothermal power,0.52,,,Rutovitz Table 9 Latin America 2030,2015,2030,0.208
Rutovitz 2015,Geothermal,O&M,Direct,job/MW,2050,0.19201891252955086,0.19201891253,CAPEX/OPEX ratio projection,Geothermal power,,Geothermal large,,OPEX 2050/2030=0.9231678486997636,2030,2050,0.19201891253
I-JEDI,Geothermal,O&M,Indirect,job/MW,2024,0.01,0.01,Original,,,,,,2024,2024,0.01
I-JEDI,Geothermal,O&M,Indirect,job/MW,2030,0.009420935412026727,0.00942093541203,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2030/2024=0.9420935412026726,2024,2030,0.00942093541203
I-JEDI,Geothermal,O&M,Indirect,job/MW,2050,0.008697104677060134,0.00869710467706,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2050/2030=0.9231678486997636,2030,2050,0.00869710467706
I-JEDI,Geothermal,O&M,Induced,job/MW,2024,0.029,0.029,Original,,,,,,2024,2024,0.029
I-JEDI,Geothermal,O&M,Induced,job/MW,2030,0.027320712694877507,0.0273207126949,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2030/2024=0.9420935412026726,2024,2030,0.0273207126949
I-JEDI,Geothermal,O&M,Induced,job/MW,2050,0.02522160356347439,0.0252216035635,CAPEX/OPEX ratio projection,,,Geothermal large,,OPEX 2050/2030=0.9231678486997636,2030,2050,0.0252216035635
Rutovitz 2015,Hydro (large),Construction,Direct,job-yr/MW,2015,7.4,7.4,Original,,,,,,2015,2015,7.4
Rutovitz 2015,Hydro (large),Construction,Direct,job-yr/MW,2030,7.918000000000001,7.918,Rutovitz Table 9 decline to 2030,Hydro-large,1.07,,,Rutovitz Table 9 Latin America 2030,2015,2030,7.918
Rutovitz 2015,Hydro (large),Construction,Direct,job-yr/MW,2050,7.877702817166432,7.87770281717,CAPEX/OPEX ratio projection,Hydro-large,,Large Hydro reservoir,,CAPEX 2050/2030=0.994910686684318,2030,2050,7.87770281717
Rutovitz 2015,Hydro (large),Manufacturing,Direct,job-yr/MW,2015,3.5,3.5,Original,,,,,,2015,2015,3.5
Rutovitz 2015,Hydro (large),Manufacturing,Direct,job-yr/MW,2030,3.745,3.745,Rutovitz Table 9 decline to 2030,Hydro-large,1.07,,,Rutovitz Table 9 Latin America 2030,2015,2030,3.745
Rutovitz 2015,Hydro (large),Manufacturing,Direct,job-yr/MW,2050,3.7259405216327712,3.72594052163,CAPEX/OPEX ratio projection,Hydro-large,,Large Hydro reservoir,,CAPEX 2050/2030=0.994910686684318,2030,2050,3.72594052163
Rutovitz 2015,Hydro (large),O&M,Direct,job/MW,2015,0.6,0.6,Original,,,,,,2015,2015,0.6
Rutovitz 2015,Hydro (large),O&M,Direct,job/MW,2030,0.642,0.642,Rutovitz Table 9 decline to 2030,Hydro-large,1.07,,,Rutovitz Table 9 Latin America 2030,2015,2030,0.642
Rutovitz 2015,Hydro (large),O&M,Direct,job/MW,2050,0.6384918032786885,0.638491803279,CAPEX/OPEX ratio projection,Hydro-large,,Large Hydro reservoir,,OPEX 2050/2030=0.994535519125683,2030,2050,0.638491803279
